Id;Begintijd;Tijd van voltooien;E-mail;Naam;What is your nationality?;What is your opinion on Stroopwafels?;What is your opinion on Drop?;What is your opinion on Bitterballen?
35;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
36;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
37;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
38;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
39;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
40;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
41;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
42;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
43;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
44;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
45;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
46;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
47;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
48;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
49;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
50;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
51;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
52;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
53;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
54;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
55;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
56;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
57;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
58;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
59;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
60;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
61;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Love
62;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
63;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
64;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
65;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
66;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
67;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
68;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
69;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
70;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
71;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
72;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
73;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
74;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
75;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
76;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
77;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
78;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
79;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
80;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
81;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
82;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
83;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
84;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
85;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
86;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
87;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
88;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
89;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
90;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
91;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
92;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
93;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
94;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
95;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
96;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
97;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;;Love
98;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
99;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
100;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
101;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
102;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
103;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
104;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
105;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
106;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
107;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
108;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
109;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
110;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
111;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
112;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
113;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
114;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
115;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
116;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
117;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
118;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
119;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
120;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
121;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
122;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
123;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
124;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
125;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
126;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
127;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
128;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
129;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
130;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
131;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
132;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
133;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
134;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Love
135;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
136;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
137;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
138;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
139;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
140;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
141;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
142;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
143;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
144;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Hate;Love;Love
145;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
146;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
147;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
148;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
149;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
150;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
151;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
152;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
153;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
154;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
155;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
156;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
157;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
158;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
159;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
160;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
161;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
162;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
163;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
164;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
165;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
166;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
167;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
168;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;
169;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
170;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
171;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
172;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Love;Hate
173;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
174;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
175;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
176;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
177;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Love;Love
178;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Hate;Hate;Love
179;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
180;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
181;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
182;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
183;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
184;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
185;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
186;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
187;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
188;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
189;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Love
190;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
191;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
192;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
193;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
194;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
195;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
196;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
197;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
198;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
199;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
200;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
201;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Hate;Hate;Hate
202;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Hate
203;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
204;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
205;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
206;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
207;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
208;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
209;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
210;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
211;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
212;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
213;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
214;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
215;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Love
216;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
217;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
218;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
219;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
220;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
221;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Hate
222;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
223;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
224;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
225;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
226;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Love;Hate
227;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
228;13-11-2025 12:40;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
